Index,Question,Proposed Solution,Answer
0,"A population of protozoa grows at a constant relative rate of 0.7944 per individual per day.     On day zero, the population consists of two protozoa.      Calculate the population size after six days?","We have dP/dt = kP  Therefore dP/dt = 0,7944P →   dP/P = 0,7944dt  → lnP= 0,7944t+c → P =Ce^(0,7944t) and since p(0)=2, we have C=2  and P(t)= 2e^(0,7944t). Hence P(6)= 2e^(0,7944*6) =234,99. Therefore after 6 days we have a population of 235.",235
1,"A tank contains 1000 L of salt water with 15 kg of dissolved salt. Pure water enters the tank at a rate of 10 L/min. The solution is kept well-mixed and drains from the tank at the same rate. Calculate how much salt remains in the tank after 20 minutes.","Let  S(t)  be the amount of salt (in kilograms) in the tank at time  t  (in minutes). Since the inflow and outflow rates are equal, the volume in the tank remains constant at 1000 liters. We are given that:    Inflow of pure water: no salt is added;    Outflow: the concentration of salt at time  t  is  S(t)/1000  kg/L;   Outflow rate of salt:  10 * S(t)/1000 = 1/100 S(t)  kg/min. Thus, the rate of change of salt in the tank is:  dS/dt = -1/100 S(t)   → dS/S = -1/100 dt Integrate both sides:  ∫ 1/S dS = ∫ -1/100  dt → ln |S| = -t/100 + C → S(t) = Ce^(-t/100) Applying the initial condition S(0) = 15 , we have:  S(0) = C * e^0 = C → C = 15 Hence,   S(t) = 15 e^(-t/100) Calculating the amount of salt at t = 20 , we have   S(20) = 15 e^(-20/100) = 15 e^(-0.2) Using the approximation  e^(-0.2) ≈ 0.8187 :  S(20) ≈ 15 * 0.8187 = 12.28 kg   Therefore, after 20 minutes, we have  approximately 12,3 kg",12.3
2,"A resistor R=10Ω and an inductor L=2H are connected in series with a DC voltage source of 20 Volts. If the circuit is switched on at t=0, find the initial current I(0)?","Using Kirchhoff's Voltage Law KVL, the sum of voltage drops across the resistor and the inductor equals the applied voltage, we have: LdI(t)/dt+RI(t)=V. Substituting the values of V=20,  R=10  and L=2 in the equation above,  we have 2dI(t)/dt+ 10I(t)=20  → dI(t)/dt+5I(t)=10. Solving  the  equation using integrating factor, we have  I(t)=2 + c/e^(5t)  and using the initial condition  I(0)=0 we have I(t)=2 -2/e^(5t) . Therefore, after  t=0, we have 0 A",0
3,"A 5μF capacitor is charged through a 10kΩ resistor from a 12V battery.  Calculate how long will it take for the voltage across the capacitor to reach 8V?","In an RC charging circuit,  Kirchhoff's voltage law KVL gives: V0=VR(t)+VC(t) and the ODE for V0 is given by :  V0=RCdVC(t)/dt+ Vc(t) → dVC(t)/dt= (V0-Vc(t))/RC  → dVC(t)/(V0-Vc(t))= dt/RC. Integrating both sides, we have: -ln|V0-Vc(t)|=t/RC + C1 When t=0, we have C1=-lnV0 hence -ln|V0-Vc(t)|=t/RC -lnV0  → ln|V0-Vc(t)|=lnV0-t/RC. Exponentiating both sides, we have V0-Vc(t)=V0e^(-t/RC)  → Vc(t)=V0-V0e^(-t/RC). And when Vc(t)=8 using, C=5μF=5*10^(-6)F,C=10kΩ and V0=12V, we need to simplify the equation and thereafter calculate for t. Hence, 8=12 -12e^(-t/RC) → t=-RC ln(1/3). Substituting the values of R and C, we have, t=-10^4* 5*10^(-6)* ln(1/3)≈ 0.0549. Therefore, it will take approximately 0.0549 seconds.",0.0549
4,"An object is removed from an oven at 200°C and left to cool in a room where the ambient temperature is 25°C. The rate of cooling is proportional to the difference between the object's temperature and the room temperature. If after 10 minutes the temperature is 150°C. Find the temperature after 20 minutes.","Let T(t) represent the temperature of the object at time t. By Newton’s Law of Cooling, the rate of cooling is proportional to the difference between T(t) and the ambient temperature Troom=25^0 C. We have dT(t)/dt=-k(T(t)-25). Solving this equation, we have dT(t)/(T(t)-25)=-kdt  and integrating both sides we have ln |T(t)-25| =-kt + C and exponentiating we have  T(t)-25=Ae^(-kt) . Applying the initial condition T (0)=200  to find the value of A,  we have  T(t)=25+175e^(-kt) . Now we know that after 10 minutes, T(10)=150^0C . Substituting this into the equation to find the value of k, we have  125=175e^(-10k)  →125/175=e^(-10k)  → 0.7143=e^(-10k). Taking the natural logarithm, we have ln(0.7143)=−10k  →  k=−ln(0.7143)/10≈ 0.0337 . So, after 20 minutes, the temperature will be  T(20)=25+175 e^(-0,337*20) ≈ 25+175^(-0,674) ≈114.19",114.19
5,"A certain village in Angola  had a population of 10,000 people. Due to unfavorable living conditions, the population decreases at a rate proportional to the current population. After 3 years, the population  decreased to 8,000. Determine the time it will take for the population to reduce to 5,000?","Let P(t) be the population at time t. The rate of population decrease is proportional to the population: dP/dt=-kP where k is the decay constant. Solving this ODE,  we have P(t)=Ae^(-kt). Applying initial condition, P(0)=10,000, we have A=10,000 → P(t)=10,000e^(-kt). After 3 years, the population is 8,000. Substituting  P(3)=8,000 into the equation and calculating the value of k, we have 8,000/10,000=e^(-3k)→ ln(0.8)=-3k  → k=−ln(0.8)/3 ≈ 0.0749 . Hence P(t)=10,000e^(-0,0749t) .Now setting  P(t)=5,000 and solving for t, we have  5,000 =10,000e^(-0,0749t)→ 5,000/10,000=e^(-0,0749t)   → t=−ln(0.5)/0,0749≈ 9.26  years. Therefore it will take approximately 9.26 years for the population to reduce to 5,000 people",9.26
6,"Find the charge when t=0,2, in a series RC circuit where R = 10 W,  = 4 * 10^{-3} F and E = 85 cos 150t V? Assume  that when the switch is closed at t = 0, the charge on the capacitor is -0.05 C.","We have Rdq(t)/dt+1/C q=V Since R=10, C=4*10^(-3), and V=85cos150t, substituting in the equation and simplifying we  have: dq(t)/dt + 25q=8.5cos150t Now, solving  this differential equation  using the linear integrating factor, we have: e^(25t)q(t)=∫(e^(25t)8.5cos150t)dt = 85∫(e^(25t)8.5cos150t)dt using  the integration formula (found in our standard integral table): ∫ e^(mt)cosntdt= e^(mt)/(m^2+n^2)(mcosnt+nsinnt) We obtain: e^(25t)q(t)  = 85 e^(25t)/23125 (25cos150t+ 150e25tsin150t) → q(t)=0.0092* cos150t+ 0.055* sin150t+ Ke^(-25t). Using q(0)=−0.05 and calculating the value of k, we have k=−0.0592 and hence q(t)=0.0092* cos150t+ 0.055* sin150t-0,0592e^(-25t) . Therefore, when t=0,2, we have q(0,2)=0.0092* cos150*0,2+ 0.055* sin150*0,2-0,0592e^(-25*0,2)≈-0,0529  coulomb.",-0.0529
7,"A resistor R=12Ω and an inductor L=4H are connected in series with a DC voltage source of E=60sin30t Volts. If the circuit is switched on at t=0, find the current I(t)  when  t=3?","Using Kirchhoff's Voltage Law (KVL), the sum of voltage drops across the resistor and the inductor equals the applied voltage, we have: LdI(t)/dt+RI(t)=V Substituting values V,  R  and L in the equation,  we have 4dI(t)/dt+ 12I(t)=60sin30t  → dI(t)/dt+3RI(t)/L=15sin30t. Solving  the  equation using integrating factor and then,  using  the integration formula (found in our standard integral table): ∫ e^(mt)cosntdt = e^(mt)/(m^2+n^2)(mcosnt+nsinnt) ,we have  I(t)=15e^(-3t)[  e^(3t)/303(sin30t – 10cos30t)] + ke^(-3t)  I(t) =5/101 (sin30t – 10cos30t) + ke^(-3t) and using the initial condition  I(0)=0 we have I(t)=5/101(sin30t – 10cos30t) + 50/101e^(-3t) . Therefore, after  t=3, we have I(t)=5/101(sin(30*3) – 10cos(30*3)) + 50/101e^(-3*3) → 0,266 A.",0.266
8,"A roast chicken is removed from the oven when its temperature reaches 185°F and is placed on a table where the temperature is 75°F. If the temperature of the chicken is 150°F after half an hour,  calculate the temperature after 45 minutes?","Let T(t) represent the temperature of the roasted chicken at time t. By Newton’s Law of Cooling, the rate of cooling is proportional to the difference between T(t) and the ambient temperature T(t)=75^0F.   dT(t)/dt= -k(T(t)-75). Solving this equation, we have dT(t)/(T(t)-75)=-kdt and integrating both sides we have ln|T(t)-75|=-kt + C and exponentiating we have T(t)-75=Ae^(-kt). Applying the initial condition T(0)=185 to find the value of A,  we have T(t)=75+110e^(-kt). Now we know that after 30 minutes, T(30)=150. Substituting this into the equation to find the value of k, we have 75=110e^(-30k) → 75/110=e^(-30k) → 0.6818=e^(-30k). Taking the natural logarithm, we have ln(0.6818)=-30k →k=−ln(0.6818)/30≈0.01296.   So, after 45 minutes, the temperature will be T(45)=75+110e^(-0,01296*45)  ≈136.40^0F.",136.40
9,"Escherichia coli, a common bacteria found in the human intestine, divides into two cells every 20 minutes when placed in a nutrient-rich medium. The initial population of the culture is 60 cells.  Calculate the time required for the population to reach 20,000 cells?","We have dP/dt = kP. Integrating both sides, we have  ln P(t)=kt +C  and using natural logarithm, we have P(t)=Ae^(kt). Since P(0)=60, we have P(t)=60e^(kt). We know that the population doubles every 20 minutes. This means that after 20 minutes, P(20)=2*60=$120 → P(20)=2*60=120 cells. Substituting t=20 in the equation and calculating the value for k we have, k=ln2/20 → 0,03466 and therefore  P(t)=60e^(0,03466t). Now we have to find the value of t when P(t)=20000. We have 20000= 60e^(0,03466t) → 20000/60= e^(0,03466t) → t=ln(333.33)/0.03466 ≈167.63 minutes.",167.63
